名称,営業日,住所,アクセス
粋 恵比寿店,月～木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）金: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区恵比寿西１丁目13-2　2F,"■ＪＲ恵比寿駅西口より徒歩約3分■大人の街""恵比寿""に佇む、スタイリッシュなネオ大衆居酒屋『粋』"
串ごろ 恵比寿店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区恵比寿１-11-15エビスリヨンビル3F,ＪＲ恵比寿駅徒歩1分
Green Lounge グリーンラウンジ,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区神南１－３－４　神南ビルＢ１,渋谷駅 徒歩8分 /ＪＲ 原宿駅 徒歩8分 　同窓会/歓送迎会/パーティ　貸切はGreen　Lounge♪　お電話 03-6455-3308まで
chill チル 原宿 表参道店,月～日、祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区神宮前３-27-17 Ts-Twoビル B1F,表参道駅徒歩10分　原宿駅徒歩5分　明治神宮前駅徒歩8分
恵比寿 メデューサ MEDUSA,月～日、祝日、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区恵比寿１－８－１２ＥＢＩＳＵ Ｑ ＰＬＡＺＡ　Ｂ１Ｆ,JR恵比寿駅西口徒歩1分
韓国居酒屋 マヤクポチャ,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土、祝前日: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町２６－９　Ｂ１,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
串揚げ アガルコメ 恵比寿店,月～金、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区恵比寿南１ 4-7 シエルブルー恵比寿南 4F,恵比寿駅から徒歩2分♪
京町鶏響きジャポン 渋谷店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２丁目２８－２－４F,渋谷駅徒歩3分《焼き鳥完全個室居酒屋》
肉寿司食べ放題 まいた 渋谷本店,月～金: 11:00～15:0017:00～23:30 （ドリンクL.O. 23:00）土、日、祝日: 11:00～15:3016:00～23:30 （ドリンクL.O. 23:00）,東京都渋谷区渋谷２－１９－１７　第１０６東京ビル９Ｆ,【渋谷駅徒歩1分】厳選肉料理が豪華食べ放題！【渋谷　個室居酒屋　肉バル】
明洞タッカルビ 渋谷店,月～木: 12:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）金、土: 12:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）日、祝前日: 12:00～23:30 （料理L.O. 22:00 ドリンクL.O. 23:00）祝日: 12:00～23:30 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２ -25-10　ベニー清建ビル3Ｆ,ＪＲ渋谷駅/ハチ公口から徒歩３分/文化村通り沿い/MEGAドンキ・Ｈ＆Ｍ向かいにあります
土間土間 渋谷109横 渋谷文化村通り店,月～木: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）土: 14:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）日、祝日: 14:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）,東京都渋谷区宇田川町26-2　サンルイビル6F,【渋谷駅徒歩2分】ＪＲ・地下鉄・東急東横線・京王井の頭線／109目の前ビル6F★渋谷　居酒屋　ご予約お気軽に★
居酒屋 鳥道酒場 渋谷センター街1号店,月～日、祝日、祝前日: 12:00～翌5:00,東京都渋谷区宇田川町31-3蓬莱屋第２ビル１F,JR、東京メトロ地下鉄渋谷駅より徒歩5分！【各路線からアクセス良好 × 集合&待ち合わせも容易】
本格大衆焼肉 飯田屋渋谷本店,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂１-17-１0 第２宝ビル　１F,井の頭線渋谷駅から徒歩5分/JR渋谷駅から徒歩6分/神泉駅から徒歩5分
焼き鳥&野菜巻き食べ放題 一番鳥 渋谷駅前店,月～木: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-5-5 藤木ビル3階,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）
イタリアン肉バル×世界のチーズ Nice to meet cheese 渋谷店,月～日、祝日、祝前日: 11:00～16:0017:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-25-6　渋谷パークサイド共同ビル 6F,渋谷駅徒歩１分！2名様~120名様まで完全個室完備！3時間飲み放題コース3000円~
CONA コナ 渋谷宇田川町店,月～日、祝日、祝前日: 17:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）,東京都渋谷区宇田川町10-1 パークビル1F, ＪＲ渋谷駅 徒歩7分/地下鉄 渋谷駅 徒歩7分/東急ハンズ様よりすぐ≪迷ったらお気軽にお電話下さい♪≫ 
MILANO TERRACE ミラノテラス 渋谷,月～日、祝日、祝前日: 14:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）,東京都渋谷区神山町‐16‐4　ヴィラメトロポリス 5A,渋谷駅から徒歩8分
MAYAK POCHA マヤクポチャ 渋谷本店,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町26-9 メトロビルB1階,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
Casa Asteion カーサ アスティオン,月～日: 07:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,東京都渋谷区道玄坂２-11-6 TOP HILLS GARDEN 道玄坂　3F,渋谷マークシティー4Fを抜けて徒歩30秒！　TEL:03-5489-1600
串ばってん 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
九州蔵 くすぞう 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区桜丘町25-17加藤・大谷ビルB1,ＪＲ，東京メトロ銀座線渋谷駅西口より徒歩約3分
